park,beautiful,amazing,great,views,place,awesome,trip,visit,worth,day,breathtaking,experience,spectacular,tour,stunning,wow,best,drive,view,time,wonderful,scenery,beauty,nature,sunrise,spending,average_spend,Scored Labels
Arches National Park,1,0.869822,1,0.575269,1,0.646341,0.222857,1,0.464912,0.3125,0.460674,0.340206,0.966667,0.15625,1,0.702128,1,0.191489,0.133333,0.672727,0.863636,1,0.843137,0.735849,0.04,188802.5,0.064103,353496.231626
Hot Springs National Park,0.048193,0,0.110497,0.021505,0.090909,0.006098,0.017143,0.152381,0.061404,0.006944,0.005618,0.020619,0,0.03125,0,0.010638,0.014493,0,0,0.054545,0.113636,0,0,0,0,97854.3,0.025641,75220.745497
Denali National Park,0.024096,0.023669,0.033149,0.021505,0.018182,0.036585,0.011429,0.009524,0.008772,0.083333,0.033708,0.041237,0.1,0.054688,0.045977,0.06383,0.014493,0.010638,0.083333,0,0.022727,0.011111,0.058824,0.037736,0,513335.2,0.608974,516490.248833
Bryce Canyon National Park,0.412651,0.298817,0.331492,0.38172,0.409091,0.262195,0.08,0.266667,0.140351,0.076389,0.235955,0.154639,0.477778,0.03125,0.609195,0.297872,0.376812,0.074468,0.058333,0.272727,0.431818,0.344444,0.627451,0.45283,0.016,145879.8,0.038462,193562.971475
Mammoth Cave National Park,0.072289,0.068047,0.320442,0.005376,0.172727,0.140244,0.057143,0.219048,0.105263,0.097222,0.011236,0.216495,0.011111,0.851563,0.011494,0.021277,0.144928,0.021277,0,0.127273,0.181818,0,0.039216,0.075472,0,48145.5,0.038462,33607.528976
Channel Islands National Park,0.027108,0.005917,0.016575,0.010753,0.009091,0.012195,0.034286,0.019048,0.008772,0.055556,0.005618,0,0,0,0,0,0,0,0,0,0,0.022222,0,0,0,19286.2,0.025641,26007.880762
Channel Islands National Park,0.018072,0.002959,0.022099,0.021505,0.045455,0.006098,0.028571,0,0,0.006944,0,0.010309,0,0,0,0,0.043478,0,0,0.018182,0,0,0,0.018868,0,22436,0.025641,17164.015193
Bryce Canyon National Park,0.222892,0.186391,0.116022,0.215054,0.290909,0.097561,0.08,0.095238,0.114035,0.076389,0.179775,0.051546,0.422222,0.03125,0.310345,0.191489,0.449275,0.117021,0.075,0.145455,0.227273,0.222222,0.27451,0.264151,0.008,117882.8,0.038462,183999.204979
Olympic National Park,0.03012,0.014793,0.027624,0.021505,0.009091,0.018293,0.011429,0.009524,0.008772,0.006944,0,0,0.011111,0,0.011494,0.010638,0,0.021277,0,0.036364,0.022727,0.011111,0.019608,0,0,263953.3,0.038462,259733.031427
Big Bend National Park,0.018072,0.005917,0.038674,0.043011,0.036364,0.006098,0.005714,0,0.008772,0,0,0,0,0,0.022989,0,0.057971,0.021277,0,0,0.045455,0.011111,0.019608,0.018868,0,34197.4,0.044872,41474.219849
Capitol Reef National Park,0.036145,0.005917,0.033149,0,0.018182,0.012195,0.011429,0.028571,0.035088,0.013889,0,0.010309,0.044444,0.015625,0.011494,0.010638,0.057971,0.042553,0,0.054545,0.045455,0,0.039216,0,0,45086,0.032051,51910.61834
Crater Lake National Park,0.13253,0.035503,0.088398,0.043011,0.127273,0.042683,0.022857,0.085714,0.061404,0.020833,0.044944,0.051546,0.055556,0.023438,0.195402,0.074468,0.043478,0.06383,0.05,0.072727,0.113636,0.044444,0.117647,0.075472,0,62399,0.044872,49822.29715
Biscayne National Park,0.03012,0.005917,0.049724,0.005376,0.027273,0,0.034286,0,0.017544,0.027778,0,0,0,0.039063,0,0,0.014493,0,0,0,0,0,0,0,0,30309,0.025641,28688.701857
Great Basin National Park,0.003012,0,0,0,0,0,0,0,0.008772,0.006944,0,0,0,0.007813,0,0,0,0,0,0.018182,0.022727,0,0,0,0,4912.6,0.019231,-2333.442586
Hot Springs National Park,0.048193,0.011834,0.071823,0.021505,0.081818,0.006098,0.022857,0.095238,0.052632,0.034722,0,0.010309,0.011111,0.023438,0,0,0.014493,0.021277,0.008333,0.090909,0.068182,0,0.039216,0.056604,0,88953.7,0.025641,87264.505071
Mount Rainier National Park,0.087349,0.029586,0.055249,0.05914,0.081818,0.067073,0.017143,0.047619,0,0.041667,0.033708,0.051546,0.088889,0.007813,0.068966,0.053191,0.028986,0,0,0.018182,0.022727,0.044444,0.117647,0,0.008,36843.8,0.012821,32874.343071
Wrangell - St Elias National Park,0,0,0.005525,0,0.009091,0,0,0.009524,0,0.006944,0,0,0.011111,0,0,0.010638,0,0,0,0.018182,0,0,0,0,0,104859.2,0.974359,132363.414711
Grand Teton National Park,0.243976,0.097633,0.127072,0.166667,0.154545,0.097561,0.034286,0.085714,0.070175,0.027778,0.095506,0.030928,0.155556,0.023438,0.183908,0.148936,0.115942,0.085106,0.066667,0.181818,0.204545,0.2,0.098039,0.075472,0.004,560394.4,0.102564,541583.066096
Hot Springs National Park,0.012048,0.002959,0.016575,0.005376,0.009091,0.012195,0.017143,0,0.008772,0.013889,0,0.010309,0,0,0.011494,0,0,0,0,0.018182,0,0,0,0,0,87606.1,0.025641,87041.863098
Guadalupe Mountains National Park,0.012048,0.005917,0.049724,0.021505,0,0.012195,0,0,0.061404,0,0,0.020619,0,0,0,0,0.014493,0,0.025,0,0.045455,0.011111,0,0,0,11240.2,0.025641,-2358.685632
Great Smoky Mountains National Park,0.054217,0.02071,0,0.037634,0.090909,0.006098,0.017143,0.047619,0,0.013889,0.016854,0.010309,0.033333,0,0,0,0.043478,0.031915,0,0.018182,0.045455,0.011111,0.078431,0.056604,0,922947.1,0.038462,71839.877013
Haleakala National Park,0.322289,0.372781,0.342541,0.403226,0.245455,0.262195,0.302857,0.238095,1,0.256944,0.314607,0.618557,0.377778,0.109375,0.321839,0.287234,0.42029,0.723404,0.675,0.309091,0.295455,0.088889,0.235294,0.188679,0.88,76462.5,0.025641,-41920.151648
Mammoth Cave National Park,0.021084,0.04142,0.237569,0.010753,0.072727,0.060976,0.034286,0.095238,0.061404,0.048611,0,0.123711,0.011111,0.5,0.022989,0.021277,0.014493,0,0,0.145455,0.181818,0.011111,0,0.018868,0,40429.6,0.038462,78980.618147
Yosemite National Park,0.400602,0.224852,0.165746,0.263441,0.536364,0.20122,0.16,0.295238,0.149123,0.125,0.168539,0.123711,0.3,0.007813,0.505747,0.265957,0.362319,0.074468,0.075,0.290909,0.386364,0.266667,0.568627,0.377358,0,520629.1,0.051282,498667.900508
Zion National Park,0.060241,0.050296,0.082873,0.037634,0.109091,0.036585,0.028571,0.047619,0.008772,0.034722,0.016854,0.051546,0.133333,0.007813,0.045977,0.053191,0.144928,0.031915,0.008333,0.036364,0.090909,0.055556,0.078431,0.09434,0,172231.9,0.019231,217754.281505
Indiana Dunes National Park,0.039157,0.002959,0.116022,0.016129,0.1,0.012195,0.034286,0.047619,0,0.069444,0,0.030928,0,0.007813,0,0,0,0,0,0.054545,0,0.022222,0.019608,0.037736,0,69879.4,0.012821,76797.409708
Rocky Mountain National Park,0.027108,0.02071,0.027624,0.048387,0.027273,0.02439,0,0.009524,0.008772,0.006944,0.011236,0,0,0.015625,0,0.031915,0.057971,0.021277,0,0,0.045455,0.022222,0.019608,0.037736,0,298746.7,0.032051,232158.496432
