park,visit,drive,hiking,miss,taking,inspiring,loved,crowded,stop,hikes,ride,missed,seen,walk,spend,perfect,visiting,describe,enjoy,need,hidden,going,got,seeing,bring,spending,average_spend
Bryce Canyon National Park,0.285714285714286,0.0638297872340425,0.390625,0.263157894736842,0.184210526315789,0.0789473684210526,0.285714285714286,0.0731707317073171,0.0833333333333333,0.166666666666667,0.0454545454545455,0.0625,0.5,0.230769230769231,0.0909090909090909,0.0833333333333333,0,0.0909090909090909,0.0909090909090909,0.25,0.0769230769230769,0.0555555555555556,0.166666666666667,0.25,0,200974.1,0.0594059405940594
Bryce Canyon National Park,0.314285714285714,0.0425531914893617,0.28125,0.210526315789474,0.131578947368421,0.210526315789474,0.142857142857143,0.0487804878048781,0.125,0.12962962962963,0.0454545454545455,0.125,0.181818181818182,0.153846153846154,0,0.0833333333333333,0,0.0606060606060606,0.0909090909090909,0.166666666666667,0,0,0.0833333333333333,0.333333333333333,0.166666666666667,212958.5,0.0594059405940594
Bryce Canyon National Park,0.123809523809524,0.0425531914893617,0.109375,0.157894736842105,0.184210526315789,0.0263157894736842,0.333333333333333,0.0975609756097561,0.0833333333333333,0.111111111111111,0,0.125,0.227272727272727,0.0769230769230769,0.136363636363636,0.25,0.133333333333333,0.0606060606060606,0.0909090909090909,0,0,0,0,0.166666666666667,0.0833333333333333,227305,0.0594059405940594
Canyonlands National Park,0.257142857142857,0.276595744680851,0.234375,0.315789473684211,0.0263157894736842,0.0789473684210526,0.619047619047619,0.170731707317073,0.291666666666667,0.203703703703704,0.136363636363636,0.1875,0.0454545454545455,0.153846153846154,0,0.0833333333333333,0.0666666666666667,0,0.272727272727273,0.0833333333333333,0,0,0.0833333333333333,0.25,0.25,47639.7,0.0396039603960396
Canyonlands National Park,0.352380952380952,0.159574468085106,0.140625,0.289473684210526,0.105263157894737,0.131578947368421,0.571428571428571,0.170731707317073,0.166666666666667,0.222222222222222,0.0909090909090909,0.3125,0.0909090909090909,0,0.227272727272727,0,0.2,0.0303030303030303,0.363636363636364,0.166666666666667,0.384615384615385,0.0555555555555556,0.166666666666667,0.166666666666667,0.0833333333333333,44541.8,0.0396039603960396
Canyonlands National Park,0.266666666666667,0.159574468085106,0.15625,0.157894736842105,0.0526315789473684,0.105263157894737,0.238095238095238,0.146341463414634,0.125,0.0925925925925926,0,0,0.0454545454545455,0.0769230769230769,0.0909090909090909,0,0.133333333333333,0,0.0909090909090909,0,0.153846153846154,0.0555555555555556,0,0.0833333333333333,0.166666666666667,45776,0.0396039603960396
Capitol Reef National Park,0.00952380952380952,0.0531914893617021,0.046875,0.0263157894736842,0,0,0,0.024390243902439,0.0416666666666667,0,0,0,0,0,0,0.0833333333333333,0,0,0.181818181818182,0.0833333333333333,0.230769230769231,0,0,0,0,44636.7,0.0495049504950495
Capitol Reef National Park,0.0285714285714286,0.0425531914893617,0.03125,0.0263157894736842,0,0,0,0.024390243902439,0.0416666666666667,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.153846153846154,0,0,0,0,45086,0.0495049504950495
Capitol Reef National Park,0.00952380952380952,0.0319148936170213,0,0.105263157894737,0,0,0.0476190476190476,0.0975609756097561,0.0833333333333333,0.0185185185185185,0,0,0,0,0,0,0.0666666666666667,0,0.0909090909090909,0,0.153846153846154,0,0,0,0,54427.5,0.0495049504950495
Capitol Reef National Park,0.0761904761904762,0.138297872340426,0.03125,0.0526315789473684,0,0.0263157894736842,0,0.0487804878048781,0.125,0,0.0909090909090909,0.0625,0,0.0769230769230769,0,0,0.0666666666666667,0,0.181818181818182,0,0.461538461538462,0,0.0833333333333333,0,0.0833333333333333,66601.6,0.0495049504950495
Capitol Reef National Park,0.0761904761904762,0.138297872340426,0.046875,0.131578947368421,0.0263157894736842,0.0526315789473684,0.142857142857143,0.0487804878048781,0.208333333333333,0.111111111111111,0.0454545454545455,0,0,0,0.0909090909090909,0.0833333333333333,0.0666666666666667,0,0,0,0.307692307692308,0.111111111111111,0,0.25,0,77047.5,0.0495049504950495
Capitol Reef National Park,0.123809523809524,0.170212765957447,0.109375,0.0789473684210526,0,0,0.0476190476190476,0.146341463414634,0.166666666666667,0.0740740740740741,0,0,0,0,0.136363636363636,0,0,0,0,0,1,0.0555555555555556,0.0833333333333333,0.0833333333333333,0,81284.4,0.0495049504950495
Capitol Reef National Park,0.0761904761904762,0.0957446808510638,0.0625,0.0789473684210526,0,0,0.142857142857143,0.024390243902439,0.0833333333333333,0.0185185185185185,0,0.0625,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.0833333333333333,0,0,89216,0.0495049504950495
Carlsbad Caverns National Park,0.00952380952380952,0.0106382978723404,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0.0606060606060606,0,0.0833333333333333,0,0.111111111111111,0,0,0,22584.7,0.0396039603960396
Carlsbad Caverns National Park,0.019047619047619,0,0,0,0.0263157894736842,0.0526315789473684,0.142857142857143,0,0.0416666666666667,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,23589.7,0.0396039603960396
Carlsbad Caverns National Park,0.0380952380952381,0,0,0.0263157894736842,0.0263157894736842,0,0,0,0,0,0,0,0.136363636363636,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0.0833333333333333,24544.8,0.0396039603960396
Carlsbad Caverns National Park,0.0285714285714286,0,0,0.0263157894736842,0,0.0263157894736842,0.0476190476190476,0.024390243902439,0,0,0,0.0625,0.0454545454545455,0.384615384615385,0,0,0.0666666666666667,0.0606060606060606,0,0.0833333333333333,0,0,0.0833333333333333,0,0,28116.1,0.0396039603960396
Carlsbad Caverns National Park,0.0380952380952381,0,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0,0.0416666666666667,0,0,0,0,0.307692307692308,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,30064,0.0396039603960396
