park,views,place,trip,day,breathtaking,experience,tour,wow,view,time,scenery,beauty,nature,sunrise,hike,world,list,bucket,rim,parks,fun,wonder,sunset,breath,road,average_spend,spending,Scored Labels
Bryce Canyon National Park,0.311828,0.327273,0.074286,0.104167,0.191011,0.072165,0.0625,0.287234,0.116667,0.090909,0.222222,0.352941,0.150943,0.004,0.107692,0.117021,0.136842,0.131868,0.011976,0.253521,0.064516,0.07767,0.011494,0.12766,0.046875,0.038462,212958.5,170160.327316
Glacier National Park,0.182796,0,0.08,0.048611,0.061798,0.082474,0.03125,0.042553,0,0.072727,0.155556,0.058824,0.018868,0,0.015385,0.074468,0.042105,0.043956,0,0.014085,0.129032,0.009709,0,0.06383,0.609375,0.038462,193345.6,237841.75207
Cuyahoga Valley National Park,0.005376,0.063636,0.011429,0.027778,0,0,0,0,0,0,0.022222,0.039216,0.056604,0,0.015385,0.010638,0,0,0,0.028169,0,0,0,0,0,0.025641,136751.8,124585.230771
Crater Lake National Park,0.107527,0.154545,0.097143,0.0625,0.123596,0.020619,0.015625,0.244681,0.016667,0.018182,0.111111,0.215686,0.056604,0.004,0.015385,0.031915,0.052632,0.054945,0.023952,0.042254,0,0.038835,0,0.06383,0.109375,0.044872,65300.7,56366.806393
Hot Springs National Park,0.005376,0.027273,0.005714,0,0,0,0,0,0,0.018182,0,0,0.018868,0,0,0,0,0,0,0.014085,0.064516,0,0,0,0,0.025641,80191,90912.725582
Sequoia National Park,0,0.018182,0.005714,0,0.005618,0,0,0,0,0,0,0,0,0,0,0.010638,0.031579,0.032967,0,0,0,0,0,0,0,0.032051,95882.4,103908.651652
Lassen Volcanic National Park,0.026882,0,0.022857,0.027778,0,0,0,0.031915,0.016667,0.018182,0,0,0.037736,0,0.015385,0,0,0,0,0.014085,0,0,0,0,0,0.025641,24319.4,37798.568855
Denali National Park,0.064516,0.163636,0.051429,0.076389,0.078652,0.103093,0.203125,0.095745,0.033333,0.090909,0.055556,0.098039,0.056604,0,0.015385,0.042553,0.031579,0.021978,0,0.070423,0.064516,0.009709,0,0.170213,0.015625,0.615385,632370.4,489552.992978
Canyonlands National Park,0.645161,0.263636,0.125714,0.125,0.157303,0.020619,0.046875,0.159574,0.066667,0.236364,0.3,0.27451,0.113208,0.028,0.184615,0.053191,0.031579,0.010989,0.035928,0.338028,0.129032,0.029126,0.045977,0.085106,0.09375,0.025641,47639.7,106515.427365
Indiana Dunes National Park,0.010753,0.018182,0.005714,0.006944,0,0.010309,0,0,0.008333,0.018182,0,0,0,0,0.030769,0,0,0,0,0,0.032258,0,0.011494,0,0,0.012821,69156.9,74116.398398
Denali National Park,0.102151,0.1,0.08,0.041667,0.078652,0.082474,0.15625,0.06383,0.016667,0.054545,0.088889,0.156863,0.056604,0,0.015385,0.021277,0.063158,0.065934,0,0.070423,0.032258,0.019417,0,0.06383,0.015625,0.634615,602445,557836.019368
